CRS_DEP_TIME,CRS_ARR_TIME,DISTANCE,DAY_OF_WEEK,origin_lat,origin_lng,dest_lat,dest_lng,arrivedLate
1500,1835,990,4,41.7861,87.7525,28.4294,81.3089,0
800,931,328,6,37.65,97.4331,32.8969,97.0381,0
1510,1845,1012,4,41.9808,87.9067,27.9756,82.5333,0
1230,1520,692,6,39.2975,94.7139,33.6367,84.4281,0
1048,1825,2139,3,37.6189,122.375,33.6367,84.4281,0
750,1031,1021,2,28.4294,81.3089,43.1072,78.9461,1
645,1019,2527,5,41.9389,72.6833,33.9425,118.4072,0
1934,2120,431,5,35.0425,89.9767,32.8969,97.0381,0
2245,2356,266,1,40.6397,73.7789,44.4719,73.1533,1
1700,1818,306,5,33.6367,84.4281,36.0978,79.9372,1
905,1044,550,6,32.8969,97.0381,38.7486,90.37,0
2143,2349,594,2,25.7932,80.2906,33.6367,84.4281,1
1755,2035,1025,2,26.5362,81.7553,41.4094,81.855,1
1150,1250,255,2,35.8778,78.7875,39.1753,76.6683,0
2329,739,2496,6,47.45,122.3117,42.3631,71.0064,0
1752,1941,1379,4,29.9844,95.3414,33.9425,118.4072,0
1010,1110,277,5,26.2285,97.6544,29.6456,95.2789,0
2300,640,2227,4,36.08,115.1522,40.6925,74.1686,0
700,937,857,7,38.8522,77.0378,26.6832,80.0956,0
1735,2016,551,6,32.4467,93.8256,33.6367,84.4281,0
1130,1344,605,2,40.6925,74.1686,42.8808,85.5228,0
1700,2020,1428,2,40.7772,73.8725,29.6456,95.2789,0
725,835,308,1,33.9425,118.4072,37.3628,121.9292,0
1006,1145,349,5,44.8819,93.2217,41.7861,87.7525,1
1515,1949,1599,2,33.6367,84.4281,18.3373,64.9733,1
1445,2304,2586,4,37.6189,122.375,40.6397,73.7789,1
2310,511,1781,7,38.6956,121.5908,41.9808,87.9067,0
1350,1529,406,6,27.9756,82.5333,33.6367,84.4281,0
755,923,297,3,42.9472,87.8967,44.8819,93.2217,1
1630,1759,406,5,33.6367,84.4281,27.9756,82.5333,0
1600,1920,2565,2,40.6925,74.1686,37.6189,122.375,1
1650,1910,370,5,33.9425,118.4072,33.4342,112.0117,1
1620,1954,980,1,44.8819,93.2217,39.8722,75.2408,0
1615,1743,678,7,39.8722,75.2408,41.9808,87.9067,1
1035,1240,214,6,36.1244,86.6783,33.6367,84.4281,0
939,1237,1085,5,25.7932,80.2906,40.6925,74.1686,1
1158,1439,1005,6,27.9756,82.5333,40.6397,73.7789,0
1755,2118,853,5,32.7336,117.1897,39.8617,104.6731,0
1815,1945,282,4,42.9406,78.7322,40.6925,74.1686,1
1340,1519,406,4,27.9756,82.5333,33.6367,84.4281,0
1110,1353,511,7,35.0425,89.9767,35.2139,80.9431,0
1220,1502,500,6,31.3275,92.5486,33.6367,84.4281,0
1016,1325,821,5,41.3031,95.8942,33.6367,84.4281,0
950,1100,358,2,38.6956,121.5908,34.2006,118.3586,0
1050,1233,526,2,33.6367,84.4281,40.4914,80.2328,0
830,930,226,7,36.08,115.1522,33.6756,117.8683,1
1820,2054,802,5,41.9808,87.9067,32.8969,97.0381,0
655,750,533,6,39.2975,94.7139,39.8617,104.6731,0
1707,1940,1250,5,41.9808,87.9067,40.7883,111.9778,1
806,1119,773,3,41.9808,87.9067,32.1275,81.2022,1
945,1110,289,2,42.7492,73.8019,39.1753,76.6683,0
1600,1850,646,2,37.7214,122.2208,33.4342,112.0117,1
1500,1606,606,1,33.6367,84.4281,41.9808,87.9067,1
1255,1335,89,3,32.8969,97.0381,31.6114,97.2306,0
1715,1815,616,4,28.4294,81.3089,36.1244,86.6783,1
